iso,trial,uniq,match,i_mA,alive
2026-09-01T02:54:26,1,256,1,72,$80 $E0
2026-09-01T02:54:58,2,256,1,71,$80 $E0
2026-09-01T02:55:31,3,256,1,72,$80 $E0
2026-09-01T02:56:04,4,256,0,72,$80 $E0
2026-09-01T02:56:36,5,256,1,72,$E0
2026-09-01T02:57:09,6,256,1,71,$80
2026-09-01T02:57:42,7,256,1,71,$E0
2026-09-01T02:58:14,8,256,0,71,$E0
2026-09-01T02:58:47,9,256,1,71,$80 $E0
2026-09-01T02:59:19,10,256,0,71,$80 $E0
2026-09-01T02:59:52,11,256,1,71,$80 $E0
2026-09-01T03:00:25,12,256,1,72,$80
2026-09-01T03:00:57,13,256,1,71,$80 $E0
2026-09-01T03:01:30,14,256,1,72,$E0
2026-09-01T03:02:03,15,256,1,71,$80 $E0
2026-09-01T03:02:35,16,256,1,71,$80 $E0
2026-09-01T03:03:08,17,256,1,71,$80 $E0
2026-09-01T03:03:41,18,256,1,71,$80
2026-09-01T03:04:13,19,256,1,71,$80
2026-09-01T03:04:46,20,256,1,72,$E0
2026-09-01T03:05:19,21,256,0,71,$80 $E0
2026-09-01T03:05:51,22,256,1,71,$E0
2026-09-01T03:06:24,23,256,1,71,$80 $E0
2026-09-01T03:06:57,24,256,1,71,
2026-09-01T03:07:29,25,256,1,71,$80 $E0
2026-09-01T03:08:02,26,256,1,71,$E0
2026-09-01T03:08:35,27,256,1,71,$80 $E0
2026-09-01T03:09:07,28,256,1,71,$80 $E0
2026-09-01T03:09:40,29,256,1,71,
2026-09-01T03:10:12,30,256,1,71,$E0
2026-09-01T03:10:45,31,256,0,71,$80 $E0
2026-09-01T03:11:18,32,256,1,71,$80 $E0
2026-09-01T03:11:50,33,256,1,71,$80 $E0
2026-09-01T03:12:23,34,256,1,72,$80 $E0
2026-09-01T03:12:56,35,256,0,72,$80 $E0
2026-09-01T03:13:28,36,256,0,71,
2026-09-01T03:14:01,37,256,0,71,$80
2026-09-01T03:14:34,38,256,1,72,$E0
2026-09-01T03:15:06,39,256,1,71,$E0
2026-09-01T03:15:39,40,256,1,72,$E0
