iso,clk,bank,uniq,top_val,top_pct,i_mA
2026-09-02T08:26:34,hi-Z,0x00,256,0x21,0.190,0
2026-09-02T08:26:37,hi-Z,0x40,1,0x04,1.000,81
2026-09-02T08:26:55,hi-Z,0x00,256,0x21,0.190,0
2026-09-02T08:26:58,hi-Z,0x40,1,0x04,1.000,82
2026-09-02T08:27:15,hi-Z,0x00,256,0x21,0.190,0
2026-09-02T08:27:18,hi-Z,0x40,1,0x04,1.000,83
2026-09-02T08:27:35,1MHz,0x00,256,0x00,0.160,0
2026-09-02T08:27:38,1MHz,0x40,204,0xff,0.795,220
2026-09-02T08:27:56,1MHz,0x00,256,0x00,0.160,0
2026-09-02T08:27:59,1MHz,0x40,204,0xff,0.795,60
2026-09-02T08:28:16,1MHz,0x00,256,0x00,0.160,0
2026-09-02T08:28:19,1MHz,0x40,204,0x00,0.426,58
2026-09-02T08:28:37,2MHz,0x00,249,0x00,0.609,0
2026-09-02T08:28:40,2MHz,0x40,204,0xff,0.798,62
2026-09-02T08:28:57,2MHz,0x00,250,0x00,0.621,64
2026-09-02T08:29:00,2MHz,0x40,204,0xff,0.694,61
2026-09-02T08:29:18,2MHz,0x00,253,0x00,0.620,0
2026-09-02T08:29:21,2MHz,0x40,256,0x00,0.163,58
2026-09-02T08:29:39,4MHz,0x00,251,0x00,0.615,0
2026-09-02T08:29:42,4MHz,0x40,204,0xff,0.904,64
2026-09-02T08:29:59,4MHz,0x00,252,0x00,0.618,0
2026-09-02T08:30:02,4MHz,0x40,204,0xff,0.796,0
2026-09-02T08:30:19,4MHz,0x00,256,0x00,0.160,0
2026-09-02T08:30:23,4MHz,0x40,204,0xff,0.906,61
2026-09-02T08:30:40,8MHz,0x00,240,0x00,0.553,0
2026-09-02T08:30:44,8MHz,0x40,204,0xff,0.901,60
2026-09-02T08:31:01,8MHz,0x00,252,0x00,0.619,0
2026-09-02T08:31:04,8MHz,0x40,204,0xff,0.903,63
2026-09-02T08:31:21,8MHz,0x00,251,0x00,0.620,0
2026-09-02T08:31:25,8MHz,0x40,256,0x00,0.163,110
