iso,cic,trial,probe_match,full_match,good_banks,crc,diff_bytes,first_bad
2026-09-02T08:37:30,off,1,1,1,64,151bd470,,
2026-09-02T08:39:22,off,2,0,0,0,7d5b6975,4021414,192
2026-09-02T08:41:15,off,3,1,1,64,151bd470,,
2026-09-02T08:43:08,off,4,0,0,0,7d5b6975,4021414,192
2026-09-02T08:45:00,off,5,1,1,64,151bd470,,
2026-09-02T08:46:53,off,6,0,0,0,7d5b6975,4021414,192
2026-09-02T08:48:45,off,7,1,0,64,321c93b7,4055290,192
2026-09-02T08:50:38,off,8,0,0,0,a2216591,4116539,192
2026-09-02T08:52:31,off,9,1,1,64,151bd470,,
2026-09-02T08:54:24,off,10,1,0,64,1f2e3f66,4055313,192
2026-09-02T08:56:16,off,11,1,1,64,151bd470,,
2026-09-02T08:58:09,off,12,0,0,0,a2216591,4116539,192
2026-09-02T09:00:03,off,13,0,0,0,a2216591,4116539,192
2026-09-02T09:01:55,off,14,0,0,0,a2216591,4116539,192
2026-09-02T09:03:48,off,15,1,0,64,70bc3388,4055343,192
2026-09-02T09:05:41,off,16,1,1,64,151bd470,,
2026-09-02T09:07:33,off,17,1,1,64,151bd470,,
2026-09-02T09:09:26,off,18,0,0,0,a2216591,4116539,192
2026-09-02T09:11:18,off,19,1,1,64,151bd470,,
2026-09-02T09:13:11,off,20,0,0,0,a2216591,4116539,192
2026-09-02T09:15:17,on,1,0,0,0,7d5b6975,4021414,192
2026-09-02T09:17:10,on,2,0,0,0,f2e76646,4025199,192
2026-09-02T09:19:03,on,3,1,1,64,151bd470,,
2026-09-02T09:20:55,on,4,1,1,64,151bd470,,
2026-09-02T09:22:48,on,5,1,0,64,3f575584,4055280,192
2026-09-02T09:24:40,on,6,1,1,64,151bd470,,
2026-09-02T09:26:33,on,7,0,0,0,7d5b6975,4021414,192
2026-09-02T09:28:25,on,8,1,1,64,151bd470,,
2026-09-02T09:30:18,on,9,1,0,64,f384f947,3185488,206
2026-09-02T09:32:11,on,10,0,0,0,7d5b6975,4021414,192
2026-09-02T09:34:03,on,11,0,0,0,7d5b6975,4021414,192
2026-09-02T09:35:56,on,12,1,1,64,151bd470,,
2026-09-02T09:37:48,on,13,0,0,0,7d5b6975,4021414,192
2026-09-02T09:39:41,on,14,1,0,64,71721f21,4054814,192
2026-09-02T09:41:33,on,15,1,1,64,151bd470,,
2026-09-02T09:43:26,on,16,1,0,64,222b1408,192646,253
2026-09-02T09:45:18,on,17,1,1,64,151bd470,,
2026-09-02T09:47:11,on,18,0,0,0,b807515b,4028453,192
2026-09-02T09:49:03,on,19,1,1,64,151bd470,,
2026-09-02T09:50:56,on,20,1,1,64,151bd470,,
