iso,cic,trial,uniq,match
2026-09-02T08:14:47,off,1,256,1
2026-09-02T08:15:04,off,2,256,1
2026-09-02T08:15:21,off,3,256,1
2026-09-02T08:15:38,off,4,256,1
2026-09-02T08:15:55,off,5,256,1
2026-09-02T08:16:13,off,6,1,0
2026-09-02T08:16:29,off,7,256,0
2026-09-02T08:16:47,off,8,256,0
2026-09-02T08:17:04,off,9,1,0
2026-09-02T08:17:21,off,10,256,1
2026-09-02T08:17:38,off,11,256,0
2026-09-02T08:17:55,off,12,256,1
2026-09-02T08:18:12,off,13,256,1
2026-09-02T08:18:29,off,14,256,1
2026-09-02T08:18:46,off,15,256,1
2026-09-02T08:19:03,off,16,256,1
2026-09-02T08:19:20,off,17,256,1
2026-09-02T08:19:37,off,18,256,0
2026-09-02T08:19:54,off,19,256,0
2026-09-02T08:20:11,off,20,256,1
2026-09-02T08:20:41,on,1,256,1
2026-09-02T08:20:58,on,2,256,0
2026-09-02T08:21:15,on,3,256,0
2026-09-02T08:21:32,on,4,256,1
2026-09-02T08:21:49,on,5,256,0
2026-09-02T08:22:06,on,6,256,1
2026-09-02T08:22:24,on,7,256,1
2026-09-02T08:22:40,on,8,256,0
2026-09-02T08:22:58,on,9,256,1
2026-09-02T08:23:15,on,10,256,0
2026-09-02T08:23:32,on,11,256,1
2026-09-02T08:23:49,on,12,256,1
2026-09-02T08:24:06,on,13,256,1
2026-09-02T08:24:23,on,14,256,1
2026-09-02T08:24:40,on,15,256,1
2026-09-02T08:24:56,on,16,256,1
2026-09-02T08:25:13,on,17,256,1
2026-09-02T08:25:31,on,18,256,1
2026-09-02T08:25:48,on,19,256,0
2026-09-02T08:26:04,on,20,256,1
