iso,clk_cmd,clk_label,trial,uniq,match,i_mA,wake_alive
2026-08-31T22:02:18,z,ハイインピーダンス,1,256,1,72,$E0
2026-08-31T22:02:51,z,ハイインピーダンス,2,256,1,72,$E0
2026-08-31T22:03:24,z,ハイインピーダンス,3,256,1,73,$E0
2026-08-31T22:03:57,z,ハイインピーダンス,4,256,1,72,$E0
2026-08-31T22:04:30,z,ハイインピーダンス,5,256,1,73,
2026-08-31T22:05:03,z,ハイインピーダンス,6,256,0,73,$E0
2026-08-31T22:05:36,z,ハイインピーダンス,7,256,0,72,$E0
2026-08-31T22:06:09,z,ハイインピーダンス,8,256,1,73,$E0
2026-08-31T22:06:42,z,ハイインピーダンス,9,256,0,72,
2026-08-31T22:07:15,z,ハイインピーダンス,10,256,1,72,
2026-08-31T22:07:48,z,ハイインピーダンス,11,256,1,72,$E0
2026-08-31T22:08:21,z,ハイインピーダンス,12,256,1,72,$E0
2026-08-31T22:08:54,z,ハイインピーダンス,13,256,1,72,$E0
2026-08-31T22:09:27,z,ハイインピーダンス,14,256,1,73,
2026-08-31T22:10:00,z,ハイインピーダンス,15,256,1,72,$E0
2026-08-31T22:10:33,z,ハイインピーダンス,16,256,1,72,$E0
2026-08-31T22:11:06,z,ハイインピーダンス,17,256,1,72,$E0
2026-08-31T22:11:39,z,ハイインピーダンス,18,256,1,73,$E0
2026-08-31T22:12:12,z,ハイインピーダンス,19,256,1,73,$E0
2026-08-31T22:12:44,z,ハイインピーダンス,20,256,1,72,$E0
2026-08-31T22:13:17,2,2.667 MHz,1,256,0,71,$C0 $E0
2026-08-31T22:13:50,2,2.667 MHz,2,256,1,72,$80 $C0 $E0
2026-08-31T22:14:23,2,2.667 MHz,3,256,1,72,$80 $C0 $E0
2026-08-31T22:14:56,2,2.667 MHz,4,256,1,72,$00 $80 $C0 $E0
2026-08-31T22:15:29,2,2.667 MHz,5,250,0,70,$00 $20 $80 $C0 $E0
2026-08-31T22:16:02,2,2.667 MHz,6,256,1,72,$C0 $E0
2026-08-31T22:16:35,2,2.667 MHz,7,256,1,71,$00 $80 $C0 $E0
2026-08-31T22:17:08,2,2.667 MHz,8,256,1,72,$20 $80 $C0 $E0
2026-08-31T22:17:41,2,2.667 MHz,9,256,1,72,$00 $20 $C0 $E0
2026-08-31T22:18:14,2,2.667 MHz,10,256,1,72,$E0
2026-08-31T22:18:47,2,2.667 MHz,11,256,0,72,$00 $C0 $E0
2026-08-31T22:19:20,2,2.667 MHz,12,256,1,72,$20 $C0 $E0
2026-08-31T22:19:53,2,2.667 MHz,13,256,1,72,$20 $80 $C0 $E0
2026-08-31T22:20:26,2,2.667 MHz,14,256,1,72,$00 $20 $40 $C0
2026-08-31T22:20:59,2,2.667 MHz,15,256,1,71,$20 $80 $C0
2026-08-31T22:21:32,2,2.667 MHz,16,256,1,71,$20 $80 $C0 $E0
2026-08-31T22:22:05,2,2.667 MHz,17,256,1,71,$00 $20 $C0 $E0
2026-08-31T22:22:38,2,2.667 MHz,18,256,1,72,$20 $C0 $E0
2026-08-31T22:23:11,2,2.667 MHz,19,256,0,72,$00 $20 $40 $C0
2026-08-31T22:23:44,2,2.667 MHz,20,256,1,72,$20 $C0 $E0
2026-08-31T22:24:17,1,4.000 MHz,1,256,1,72,$40 $C0 $E0
2026-08-31T22:24:50,1,4.000 MHz,2,256,1,72,$20 $C0 $E0
2026-08-31T22:25:23,1,4.000 MHz,3,256,0,70,$00 $20 $80 $E0
2026-08-31T22:25:56,1,4.000 MHz,4,256,1,72,$20 $C0 $E0
2026-08-31T22:26:29,1,4.000 MHz,5,256,1,73,$C0 $E0
2026-08-31T22:27:02,1,4.000 MHz,6,249,0,71,$C0 $E0
2026-08-31T22:27:35,1,4.000 MHz,7,249,0,71,$C0 $E0
2026-08-31T22:28:08,1,4.000 MHz,8,256,1,72,$80 $C0
2026-08-31T22:28:41,1,4.000 MHz,9,256,1,72,$C0 $E0
2026-08-31T22:29:14,1,4.000 MHz,10,250,0,70,$C0 $E0
2026-08-31T22:29:47,1,4.000 MHz,11,256,1,72,$C0 $E0
2026-08-31T22:30:20,1,4.000 MHz,12,239,0,70,$20 $C0 $E0
2026-08-31T22:30:53,1,4.000 MHz,13,250,0,71,$C0 $E0
2026-08-31T22:31:26,1,4.000 MHz,14,256,1,72,$00 $20 $C0
2026-08-31T22:31:59,1,4.000 MHz,15,248,0,70,$20 $C0 $E0
2026-08-31T22:32:32,1,4.000 MHz,16,256,0,72,$20 $80 $C0 $E0
2026-08-31T22:33:05,1,4.000 MHz,17,256,0,70,$20 $C0 $E0
2026-08-31T22:33:38,1,4.000 MHz,18,256,1,72,$E0
2026-08-31T22:34:11,1,4.000 MHz,19,256,1,72,$E0
2026-08-31T22:34:44,1,4.000 MHz,20,227,0,70,$C0 $E0
