iso,clk_cmd,clk_label,trial,uniq,match,i_mA,wake_alive
2026-08-31T21:31:35,z,ハイインピーダンス,1,256,1,72,$E0
2026-08-31T21:32:08,z,ハイインピーダンス,2,256,0,72,$E0
2026-08-31T21:32:41,z,ハイインピーダンス,3,256,1,72,$E0
2026-08-31T21:33:14,z,ハイインピーダンス,4,256,1,72,$E0
2026-08-31T21:33:47,z,ハイインピーダンス,5,256,1,72,$E0
2026-08-31T21:34:20,x,LOW固定,1,1,0,92,
2026-08-31T21:34:53,x,LOW固定,2,1,0,92,
2026-08-31T21:35:26,x,LOW固定,3,1,0,93,
2026-08-31T21:35:59,x,LOW固定,4,1,0,92,
2026-08-31T21:36:32,x,LOW固定,5,1,0,92,
2026-08-31T21:37:05,7,1.000 MHz,1,256,0,71,$00 $20 $80 $C0 $E0
2026-08-31T21:37:38,7,1.000 MHz,2,256,1,70,$20 $80 $C0 $E0
2026-08-31T21:38:11,7,1.000 MHz,3,256,1,70,$00 $20 $C0 $E0
2026-08-31T21:38:44,7,1.000 MHz,4,256,1,71,$20 $40 $80 $C0 $E0
2026-08-31T21:39:17,7,1.000 MHz,5,256,0,71,$00 $20 $80 $C0 $E0
2026-08-31T21:39:50,3,2.000 MHz,1,256,1,71,$80 $C0 $E0
2026-08-31T21:40:23,3,2.000 MHz,2,256,1,71,$20 $80 $E0
2026-08-31T21:40:56,3,2.000 MHz,3,250,0,70,$00 $20 $80 $C0 $E0
2026-08-31T21:41:29,3,2.000 MHz,4,256,1,71,$C0 $E0
2026-08-31T21:42:02,3,2.000 MHz,5,256,0,71,$00 $20 $C0 $E0
2026-08-31T21:42:35,2,2.667 MHz,1,256,1,71,$00 $20 $80 $C0
2026-08-31T21:43:08,2,2.667 MHz,2,248,0,70,$00 $20 $C0 $E0
2026-08-31T21:43:41,2,2.667 MHz,3,256,1,72,$00 $20 $80 $C0 $E0
2026-08-31T21:44:14,2,2.667 MHz,4,256,1,72,$00 $20 $80 $C0 $E0
2026-08-31T21:44:47,2,2.667 MHz,5,256,1,71,$20 $40 $C0 $E0
2026-08-31T21:45:20,1,4.000 MHz,1,256,0,70,$20 $C0 $E0
2026-08-31T21:45:53,1,4.000 MHz,2,256,0,70,$20 $C0 $E0
2026-08-31T21:46:26,1,4.000 MHz,3,256,1,72,$C0 $E0
2026-08-31T21:46:59,1,4.000 MHz,4,256,0,70,$C0 $E0
2026-08-31T21:47:32,1,4.000 MHz,5,249,0,70,$C0 $E0
2026-08-31T21:48:05,0,8.000 MHz,1,256,1,74,$C0 $E0
2026-08-31T21:48:38,0,8.000 MHz,2,256,1,74,$00 $40 $80 $C0 $E0
2026-08-31T21:49:11,0,8.000 MHz,3,250,0,73,$80 $C0 $E0
2026-08-31T21:49:44,0,8.000 MHz,4,256,0,72,$20 $C0 $E0
2026-08-31T21:50:17,0,8.000 MHz,5,256,0,72,$80 $C0 $E0
