iso,prime,trial,uniq,match
2026-09-02T09:51:26,1,1,256,1
2026-09-02T09:51:43,1,2,256,1
2026-09-02T09:52:00,1,3,256,1
2026-09-02T09:52:17,1,4,256,1
2026-09-02T09:52:34,1,5,256,1
2026-09-02T09:52:51,1,6,256,1
2026-09-02T09:53:08,1,7,256,1
2026-09-02T09:53:25,1,8,256,1
2026-09-02T09:53:43,1,9,256,1
2026-09-02T09:54:00,1,10,256,1
2026-09-02T09:54:17,1,11,256,1
2026-09-02T09:54:34,1,12,256,1
2026-09-02T09:54:51,1,13,256,1
2026-09-02T09:55:08,1,14,256,1
2026-09-02T09:55:25,1,15,256,1
2026-09-02T09:55:43,1,16,256,1
2026-09-02T09:55:59,1,17,256,1
2026-09-02T09:56:16,1,18,256,1
2026-09-02T09:56:33,1,19,256,0
2026-09-02T09:56:50,1,20,256,1
2026-09-02T09:57:07,0,1,256,1
2026-09-02T09:57:24,0,2,256,1
2026-09-02T09:57:41,0,3,256,1
2026-09-02T09:57:58,0,4,256,1
2026-09-02T09:58:15,0,5,256,1
2026-09-02T09:58:32,0,6,256,1
2026-09-02T09:58:49,0,7,256,1
2026-09-02T09:59:06,0,8,256,1
2026-09-02T09:59:23,0,9,256,0
2026-09-02T09:59:40,0,10,256,0
2026-09-02T09:59:57,0,11,256,1
2026-09-02T10:00:13,0,12,256,1
2026-09-02T10:00:31,0,13,256,1
2026-09-02T10:00:47,0,14,256,1
2026-09-02T10:01:04,0,15,256,1
2026-09-02T10:01:21,0,16,256,1
2026-09-02T10:01:38,0,17,256,0
2026-09-02T10:01:55,0,18,256,1
2026-09-02T10:02:12,0,19,256,0
2026-09-02T10:02:29,0,20,256,0
