iso,trial,probe_match,full_match,good_banks,crc
2026-09-01T02:13:23,1,1,1,64,151bd470
2026-09-01T02:15:31,2,1,1,64,151bd470
2026-09-01T02:17:39,3,1,1,64,151bd470
2026-09-01T02:19:47,4,1,1,64,151bd470
2026-09-01T02:21:54,5,0,0,0,f2e76646
2026-09-01T02:24:02,6,1,1,64,151bd470
2026-09-01T02:26:10,7,0,0,0,7d5b6975
2026-09-01T02:28:18,8,1,1,64,151bd470
2026-09-01T02:30:26,9,1,0,64,d496d0ed
2026-09-01T02:32:34,10,1,1,64,151bd470
2026-09-01T02:34:42,11,1,1,64,151bd470
2026-09-01T02:36:50,12,1,1,64,151bd470
2026-09-01T02:38:58,13,0,0,0,7d5b6975
2026-09-01T02:41:06,14,1,1,64,151bd470
2026-09-01T02:43:13,15,1,1,64,151bd470
2026-09-01T02:45:21,16,1,1,64,151bd470
2026-09-01T02:47:29,17,1,1,64,151bd470
2026-09-01T02:49:37,18,1,0,64,d558fc44
2026-09-01T02:51:45,19,0,0,0,7d5b6975
2026-09-01T02:53:53,20,1,1,64,151bd470
