iso,v_set_mV,v_meas_mV,trial,uniq,match,i_mA
2026-08-31T23:15:39,5000,4993,1,256,1,71
2026-08-31T23:16:11,5000,4997,2,256,1,71
2026-08-31T23:16:44,5000,4998,3,256,1,71
2026-08-31T23:17:17,5000,4997,4,256,1,71
2026-08-31T23:17:49,5000,4994,5,256,1,70
2026-08-31T23:18:22,5000,4995,6,256,1,71
2026-08-31T23:18:55,5000,4997,7,256,1,71
2026-08-31T23:19:27,5000,4995,8,256,0,71
2026-08-31T23:20:00,5000,4997,9,256,1,71
2026-08-31T23:20:33,5000,4998,10,256,1,71
2026-08-31T23:21:05,5000,5000,11,256,0,72
2026-08-31T23:21:38,5000,4996,12,256,1,71
2026-08-31T23:22:11,5000,5000,13,256,1,72
2026-08-31T23:22:43,5000,4995,14,256,1,71
2026-08-31T23:23:16,5000,4996,15,256,1,71
2026-08-31T23:23:48,5000,4996,16,256,1,71
2026-08-31T23:24:21,5000,4994,17,256,1,71
2026-08-31T23:24:54,5000,4997,18,256,1,71
2026-08-31T23:25:26,5000,4994,19,256,1,71
2026-08-31T23:25:59,5000,4997,20,256,0,71
2026-08-31T23:26:32,4900,4897,1,256,1,69
2026-08-31T23:27:04,4900,4893,2,256,1,68
2026-08-31T23:27:37,4900,4894,3,256,1,68
2026-08-31T23:28:10,4900,4896,4,256,1,69
2026-08-31T23:28:42,4900,4897,5,256,1,69
2026-08-31T23:29:15,4900,4895,6,256,1,69
2026-08-31T23:29:48,4900,4895,7,256,1,68
2026-08-31T23:30:20,4900,4897,8,256,1,69
2026-08-31T23:30:53,4900,4897,9,256,1,69
2026-08-31T23:31:26,4900,4898,10,256,1,69
2026-08-31T23:31:59,4900,4898,11,256,1,69
2026-08-31T23:32:31,4900,4896,12,256,1,69
2026-08-31T23:33:04,4900,4895,13,256,0,68
2026-08-31T23:33:37,4900,4895,14,256,1,69
2026-08-31T23:34:09,4900,4899,15,256,1,69
2026-08-31T23:34:42,4900,4897,16,256,1,69
2026-08-31T23:35:15,4900,4894,17,256,1,69
2026-08-31T23:35:47,4900,4894,18,256,1,68
2026-08-31T23:36:20,4900,4895,19,256,0,68
2026-08-31T23:36:52,4900,4899,20,256,1,69
2026-08-31T23:37:25,4800,4798,1,256,0,67
2026-08-31T23:37:58,4800,4797,2,256,1,66
2026-08-31T23:38:30,4800,4799,3,256,1,67
2026-08-31T23:39:03,4800,4801,4,256,0,67
2026-08-31T23:39:36,4800,4797,5,256,0,66
2026-08-31T23:40:08,4800,4798,6,256,0,66
2026-08-31T23:40:41,4800,4797,7,256,0,66
2026-08-31T23:41:14,4800,4798,8,256,1,67
2026-08-31T23:41:46,4800,4796,9,256,1,66
2026-08-31T23:42:19,4800,4797,10,256,1,67
2026-08-31T23:42:52,4800,4798,11,256,0,66
2026-08-31T23:43:24,4800,4797,12,256,1,66
2026-08-31T23:43:57,4800,4797,13,256,1,67
2026-08-31T23:44:30,4800,4797,14,256,1,66
2026-08-31T23:45:02,4800,4798,15,256,1,66
2026-08-31T23:45:35,4800,4798,16,256,1,66
2026-08-31T23:46:08,4800,4798,17,256,1,67
2026-08-31T23:46:40,4800,4800,18,256,0,67
2026-08-31T23:47:13,4800,4799,19,256,1,67
2026-08-31T23:47:46,4800,4797,20,256,1,66
2026-08-31T23:48:18,4700,4697,1,256,0,64
2026-08-31T23:48:51,4700,4697,2,256,0,65
2026-08-31T23:49:24,4700,4698,3,256,1,65
2026-08-31T23:49:56,4700,4697,4,256,1,65
2026-08-31T23:50:29,4700,4698,5,256,1,64
2026-08-31T23:51:02,4700,4697,6,256,1,65
2026-08-31T23:51:34,4700,4697,7,256,0,65
2026-08-31T23:52:07,4700,4696,8,256,0,64
2026-08-31T23:52:40,4700,4697,9,256,1,65
2026-08-31T23:53:12,4700,4698,10,256,1,65
2026-08-31T23:53:45,4700,4695,11,256,1,64
2026-08-31T23:54:18,4700,4695,12,256,1,64
2026-08-31T23:54:50,4700,4695,13,256,1,64
2026-08-31T23:55:23,4700,4697,14,256,0,65
2026-08-31T23:55:56,4700,4698,15,256,1,65
2026-08-31T23:56:28,4700,4696,16,256,1,65
2026-08-31T23:57:01,4700,4696,17,256,1,64
2026-08-31T23:57:34,4700,4697,18,256,0,65
2026-08-31T23:58:06,4700,4698,19,256,1,65
2026-08-31T23:58:39,4700,4697,20,256,1,65
2026-08-31T23:59:12,4600,4598,1,256,1,63
2026-08-31T23:59:44,4600,4597,2,256,1,63
2026-09-01T00:00:17,4600,4594,3,256,1,62
2026-09-01T00:00:50,4600,4596,4,256,1,63
2026-09-01T00:01:22,4600,4597,5,256,1,63
2026-09-01T00:01:55,4600,4595,6,256,0,62
2026-09-01T00:02:27,4600,4595,7,256,1,62
2026-09-01T00:03:00,4600,4598,8,256,1,63
2026-09-01T00:03:33,4600,4598,9,256,1,63
2026-09-01T00:04:05,4600,4599,10,256,1,63
2026-09-01T00:04:38,4600,4595,11,256,1,63
2026-09-01T00:05:11,4600,4598,12,256,1,63
2026-09-01T00:05:43,4600,4599,13,256,1,63
2026-09-01T00:06:16,4600,4597,14,256,1,63
2026-09-01T00:06:49,4600,4598,15,256,1,63
2026-09-01T00:07:21,4600,4598,16,256,1,63
2026-09-01T00:07:54,4600,4594,17,256,1,62
2026-09-01T00:08:27,4600,4598,18,256,1,63
2026-09-01T00:08:59,4600,4599,19,256,1,63
2026-09-01T00:09:32,4600,4597,20,256,0,62
2026-09-01T00:10:05,4500,4495,1,256,1,61
2026-09-01T00:10:37,4500,4497,2,256,1,61
2026-09-01T00:11:10,4500,4495,3,256,1,60
2026-09-01T00:11:42,4500,4496,4,256,1,61
2026-09-01T00:12:15,4500,4497,5,256,0,61
2026-09-01T00:12:48,4500,4497,6,256,1,61
2026-09-01T00:13:20,4500,4496,7,256,0,60
2026-09-01T00:13:53,4500,4498,8,256,1,61
2026-09-01T00:14:26,4500,4496,9,256,1,61
2026-09-01T00:14:58,4500,4498,10,256,1,61
2026-09-01T00:15:31,4500,4498,11,256,1,61
2026-09-01T00:16:04,4500,4499,12,256,1,61
2026-09-01T00:16:36,4500,4497,13,256,0,61
2026-09-01T00:17:09,4500,4497,14,256,1,61
2026-09-01T00:17:42,4500,4495,15,256,1,61
2026-09-01T00:18:14,4500,4497,16,256,1,61
2026-09-01T00:18:47,4500,4500,17,256,1,61
2026-09-01T00:19:20,4500,4496,18,256,1,61
2026-09-01T00:19:52,4500,4497,19,256,1,61
2026-09-01T00:20:25,4500,4499,20,256,1,61
