iso,v_set_mV,trial,full_match,good_banks,crc,diff_bytes,first_bad,i_mA
2026-09-02T10:04:18,5000,1,1,64,151bd470,,,66
2026-09-02T10:06:08,5000,2,1,64,151bd470,,,65
2026-09-02T10:07:58,5000,3,1,64,151bd470,,,65
2026-09-02T10:09:47,5000,4,0,64,1f2e3f66,4055313,192,65
2026-09-02T10:11:37,5000,5,1,64,151bd470,,,65
2026-09-02T10:13:26,5000,6,1,64,151bd470,,,66
2026-09-02T10:15:16,5000,7,0,64,970b562c,2423107,218,66
2026-09-02T10:17:05,5000,8,0,64,6879ca15,4055338,192,66
2026-09-02T10:18:55,5000,9,0,64,b511e84b,899874,242,65
2026-09-02T10:20:44,5000,10,1,64,151bd470,,,65
2026-09-02T10:22:34,5000,11,0,64,43d576d9,4064042,192,66
2026-09-02T10:24:23,5000,12,1,64,151bd470,,,64
2026-09-02T10:26:12,5000,13,0,64,1f2e3f66,4055313,192,66
2026-09-02T10:28:02,5000,14,1,64,151bd470,,,65
2026-09-02T10:29:51,5000,15,1,64,151bd470,,,66
2026-09-02T10:31:40,4500,1,1,64,151bd470,,,54
2026-09-02T10:33:30,4500,2,1,64,151bd470,,,55
2026-09-02T10:35:20,4500,3,0,64,6c94e7db,1202149,237,56
2026-09-02T10:37:09,4500,4,1,64,151bd470,,,55
2026-09-02T10:38:58,4500,5,1,64,151bd470,,,56
2026-09-02T10:40:48,4500,6,0,64,baaddc77,4065359,192,55
2026-09-02T10:42:37,4500,7,1,64,151bd470,,,56
2026-09-02T10:44:27,4500,8,1,64,151bd470,,,56
2026-09-02T10:46:17,4500,9,0,64,48bb697a,4065267,192,56
2026-09-02T10:48:06,4500,10,0,64,9af8f93e,1082685,239,56
2026-09-02T10:49:56,4500,11,1,64,151bd470,,,56
2026-09-02T10:51:45,4500,12,1,64,151bd470,,,56
2026-09-02T10:53:34,4500,13,1,64,151bd470,,,55
2026-09-02T10:55:24,4500,14,0,64,8ef3894f,4064097,192,56
2026-09-02T10:57:13,4500,15,1,64,151bd470,,,56
