iso,v_set_mV,v_meas_mV,i_mA,trial,ok,crc,checksum,diff_bytes,first_bad_bank,elapsed_s,note
2026-08-31T20:09:08,5000,4996,86,1,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:10:05,5000,4997,86,2,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:11:02,5000,4998,86,3,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:11:59,5000,4997,86,4,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:12:55,5000,4997,86,5,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:13:52,5000,4998,86,6,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:14:49,5000,5000,87,7,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:15:45,5000,4998,86,8,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:16:42,5000,4997,119,9,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:17:39,5000,4998,119,10,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:18:35,4900,4894,82,1,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:19:32,4900,4897,114,2,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:20:29,4900,4899,114,3,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:21:25,4900,4896,82,4,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:22:22,4900,4893,114,5,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:23:19,4900,4897,114,6,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:24:15,4900,4894,82,7,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:25:12,4900,4897,114,8,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:26:08,4900,4898,115,9,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:27:05,4900,4894,114,10,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:28:02,4800,4798,110,1,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:28:59,4800,4798,110,2,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:29:55,4800,4798,111,3,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:30:52,4800,4799,111,4,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:31:49,4800,4799,110,5,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:32:45,4800,4799,111,6,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:33:42,4800,4798,110,7,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:34:39,4800,4798,110,8,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:35:35,4800,4797,108,9,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:36:32,4800,4797,110,10,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:37:29,4700,4697,107,1,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:38:25,4700,4697,107,2,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:39:22,4700,4697,104,3,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:40:19,4700,4696,107,4,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:41:15,4700,4696,107,5,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:42:12,4700,4696,107,6,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:43:09,4700,4695,107,7,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:44:05,4700,4696,107,8,0,e9eb6ae2,0x5463,483670,17,48.4,
2026-08-31T20:45:02,4700,4696,107,9,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:45:59,4700,4698,107,10,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:46:55,4600,4597,103,1,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:47:52,4600,4599,104,2,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:48:49,4600,4600,102,3,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:49:45,4600,4598,103,4,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:50:42,4600,4595,103,5,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:51:39,4600,4599,103,6,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:52:36,4600,4597,103,7,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:53:32,4600,4596,103,8,0,e9eb6ae2,0x5463,483670,17,48.4,
2026-08-31T20:54:29,4600,4598,103,9,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:55:26,4600,4596,103,10,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:56:22,4500,4497,99,1,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:57:19,4500,4497,99,2,0,fb97fe6c,0x526a,961426,2,48.4,
2026-08-31T20:58:16,4500,4497,100,3,1,41a60b3f,0xab12,,,48.4,
2026-08-31T20:59:12,4500,4496,99,4,1,41a60b3f,0xab12,,,48.4,
2026-08-31T21:00:09,4500,4499,100,5,1,41a60b3f,0xab12,,,48.4,
2026-08-31T21:01:05,4500,4498,100,6,1,41a60b3f,0xab12,,,48.4,
2026-08-31T21:02:02,4500,4496,99,7,1,41a60b3f,0xab12,,,48.4,
2026-08-31T21:02:59,4500,4497,99,8,1,41a60b3f,0xab12,,,48.4,
2026-08-31T21:03:55,4500,4497,99,9,1,41a60b3f,0xab12,,,48.4,
2026-08-31T21:04:52,4500,4499,100,10,1,41a60b3f,0xab12,,,48.4,
