iso,bank,trial,uniq,match,wake_uniq
2026-09-02T07:46:07,0xC0,1,256,1,1
2026-09-02T07:46:24,0xC0,2,256,1,1
2026-09-02T07:46:41,0xC0,3,256,1,256
2026-09-02T07:46:58,0xC0,4,256,1,1
2026-09-02T07:47:15,0xC0,5,256,1,256
2026-09-02T07:47:32,0xC0,6,256,1,1
2026-09-02T07:47:49,0xC0,7,4,0,5
2026-09-02T07:48:06,0xC0,8,256,1,1
2026-09-02T07:48:23,0xC0,9,256,0,1
2026-09-02T07:48:40,0xC0,10,1,0,4
2026-09-02T07:48:57,0xC0,11,256,0,1
2026-09-02T07:49:15,0xC0,12,256,1,1
2026-09-02T07:49:31,0xC0,13,256,0,1
2026-09-02T07:49:48,0xC0,14,256,1,1
2026-09-02T07:50:06,0xC0,15,256,1,1
2026-09-02T07:50:23,0xC0,16,1,0,4
2026-09-02T07:50:40,0xC0,17,1,0,256
2026-09-02T07:50:57,0xC0,18,1,0,4
2026-09-02T07:51:14,0xC0,19,256,1,256
2026-09-02T07:51:31,0xC0,20,1,0,4
2026-09-02T07:51:48,0xD0,1,256,1,1
2026-09-02T07:52:05,0xD0,2,256,0,1
2026-09-02T07:52:22,0xD0,3,256,1,1
2026-09-02T07:52:39,0xD0,4,256,0,1
2026-09-02T07:52:56,0xD0,5,256,0,1
2026-09-02T07:53:13,0xD0,6,256,0,1
2026-09-02T07:53:29,0xD0,7,256,1,1
2026-09-02T07:53:46,0xD0,8,256,1,1
2026-09-02T07:54:03,0xD0,9,256,1,1
2026-09-02T07:54:20,0xD0,10,256,1,1
2026-09-02T07:54:37,0xD0,11,256,1,1
2026-09-02T07:54:54,0xD0,12,256,0,1
2026-09-02T07:55:11,0xD0,13,256,1,1
2026-09-02T07:55:28,0xD0,14,256,1,1
2026-09-02T07:55:45,0xD0,15,256,0,1
2026-09-02T07:56:02,0xD0,16,256,0,1
2026-09-02T07:56:19,0xD0,17,256,1,1
2026-09-02T07:56:36,0xD0,18,256,1,1
2026-09-02T07:56:53,0xD0,19,256,1,1
2026-09-02T07:57:10,0xD0,20,256,1,1
2026-09-02T07:57:28,0xE0,1,256,1,1
2026-09-02T07:57:45,0xE0,2,256,0,1
2026-09-02T07:58:02,0xE0,3,256,1,1
2026-09-02T07:58:19,0xE0,4,256,0,1
2026-09-02T07:58:36,0xE0,5,256,1,1
2026-09-02T07:58:53,0xE0,6,256,0,256
2026-09-02T07:59:10,0xE0,7,256,0,1
2026-09-02T07:59:27,0xE0,8,256,1,1
2026-09-02T07:59:44,0xE0,9,256,1,1
2026-09-02T08:00:01,0xE0,10,256,0,1
2026-09-02T08:00:18,0xE0,11,256,1,1
2026-09-02T08:00:35,0xE0,12,256,0,1
2026-09-02T08:00:52,0xE0,13,256,1,1
2026-09-02T08:01:09,0xE0,14,256,0,1
2026-09-02T08:01:26,0xE0,15,256,1,1
2026-09-02T08:01:43,0xE0,16,256,1,1
2026-09-02T08:02:00,0xE0,17,256,1,1
2026-09-02T08:02:17,0xE0,18,256,1,1
2026-09-02T08:02:34,0xE0,19,256,1,1
2026-09-02T08:02:51,0xE0,20,256,1,1
2026-09-02T08:03:08,0xF0,1,256,0,1
2026-09-02T08:03:25,0xF0,2,256,1,1
2026-09-02T08:03:42,0xF0,3,256,1,1
2026-09-02T08:03:59,0xF0,4,256,1,1
2026-09-02T08:04:17,0xF0,5,256,1,1
2026-09-02T08:04:34,0xF0,6,256,0,1
2026-09-02T08:04:51,0xF0,7,256,0,1
2026-09-02T08:05:08,0xF0,8,256,1,1
2026-09-02T08:05:25,0xF0,9,256,1,1
2026-09-02T08:05:42,0xF0,10,256,1,1
2026-09-02T08:05:59,0xF0,11,256,1,1
2026-09-02T08:06:16,0xF0,12,256,1,256
2026-09-02T08:06:33,0xF0,13,256,1,1
2026-09-02T08:06:50,0xF0,14,256,1,1
2026-09-02T08:07:07,0xF0,15,256,1,1
2026-09-02T08:07:25,0xF0,16,256,1,1
2026-09-02T08:07:42,0xF0,17,256,1,1
2026-09-02T08:07:59,0xF0,18,256,1,1
2026-09-02T08:08:16,0xF0,19,256,1,1
2026-09-02T08:08:33,0xF0,20,256,1,1
2026-09-02T08:08:51,0x80,1,4,0,4
2026-09-02T08:09:08,0x80,2,1,0,5
2026-09-02T08:09:25,0x80,3,1,0,4
2026-09-02T08:09:42,0x80,4,1,0,4
2026-09-02T08:09:59,0x80,5,1,0,4
2026-09-02T08:10:16,0x80,6,1,0,4
2026-09-02T08:10:33,0x80,7,5,0,5
2026-09-02T08:10:50,0x80,8,5,0,3
2026-09-02T08:11:07,0x80,9,1,0,4
2026-09-02T08:11:24,0x80,10,1,0,4
2026-09-02T08:11:40,0x80,11,4,0,4
2026-09-02T08:11:57,0x80,12,1,0,5
2026-09-02T08:12:14,0x80,13,1,0,3
2026-09-02T08:12:31,0x80,14,4,0,4
2026-09-02T08:12:49,0x80,15,1,0,4
2026-09-02T08:13:05,0x80,16,1,0,5
2026-09-02T08:13:23,0x80,17,1,0,4
2026-09-02T08:13:40,0x80,18,4,0,5
2026-09-02T08:13:57,0x80,19,1,0,5
2026-09-02T08:14:14,0x80,20,1,0,5
