iso,delay_s,trial,uniq,match,i_mA
2026-09-01T00:20:57,0,1,256,1,72
2026-09-01T00:21:30,0,2,256,1,72
2026-09-01T00:22:03,0,3,256,1,71
2026-09-01T00:22:35,0,4,256,0,71
2026-09-01T00:23:08,0,5,256,1,71
2026-09-01T00:23:41,0,6,256,0,71
2026-09-01T00:24:13,0,7,256,1,72
2026-09-01T00:24:46,0,8,256,1,71
2026-09-01T00:25:19,0,9,256,0,71
2026-09-01T00:25:51,0,10,256,1,71
2026-09-01T00:26:24,0,11,256,1,71
2026-09-01T00:26:57,0,12,256,1,71
2026-09-01T00:27:29,0,13,256,1,71
2026-09-01T00:28:02,0,14,256,1,71
2026-09-01T00:28:35,0,15,256,1,71
2026-09-01T00:29:17,10,1,256,1,71
2026-09-01T00:30:00,10,2,256,1,71
2026-09-01T00:30:43,10,3,256,1,71
2026-09-01T00:31:25,10,4,256,0,71
2026-09-01T00:32:08,10,5,256,0,71
2026-09-01T00:32:51,10,6,256,1,71
2026-09-01T00:33:33,10,7,256,1,71
2026-09-01T00:34:16,10,8,256,0,71
2026-09-01T00:34:59,10,9,256,1,71
2026-09-01T00:35:41,10,10,256,1,71
2026-09-01T00:36:24,10,11,256,1,71
2026-09-01T00:37:07,10,12,256,1,71
2026-09-01T00:37:49,10,13,256,1,71
2026-09-01T00:38:32,10,14,256,1,71
2026-09-01T00:39:15,10,15,256,1,71
2026-09-01T00:40:17,30,1,256,1,71
2026-09-01T00:41:20,30,2,256,1,71
2026-09-01T00:42:23,30,3,256,0,71
2026-09-01T00:43:25,30,4,256,1,71
2026-09-01T00:44:28,30,5,256,1,71
2026-09-01T00:45:31,30,6,256,0,72
2026-09-01T00:46:33,30,7,256,1,71
2026-09-01T00:47:36,30,8,256,1,72
2026-09-01T00:48:39,30,9,256,1,71
2026-09-01T00:49:41,30,10,256,0,71
2026-09-01T00:50:44,30,11,256,1,71
2026-09-01T00:51:47,30,12,256,1,71
2026-09-01T00:52:49,30,13,256,1,71
2026-09-01T00:53:52,30,14,256,1,71
2026-09-01T00:54:55,30,15,256,1,72
2026-09-01T00:56:27,60,1,256,1,71
2026-09-01T00:58:00,60,2,256,0,71
2026-09-01T00:59:33,60,3,256,1,71
2026-09-01T01:01:05,60,4,256,1,71
2026-09-01T01:02:38,60,5,256,1,71
2026-09-01T01:04:11,60,6,256,1,71
2026-09-01T01:05:43,60,7,256,0,71
2026-09-01T01:07:16,60,8,256,1,71
2026-09-01T01:08:49,60,9,256,1,71
2026-09-01T01:10:21,60,10,256,1,71
2026-09-01T01:11:54,60,11,256,1,71
2026-09-01T01:13:27,60,12,256,1,71
2026-09-01T01:14:59,60,13,256,1,71
2026-09-01T01:16:32,60,14,256,1,71
2026-09-01T01:18:05,60,15,256,0,71
2026-09-01T01:21:37,180,1,256,1,71
2026-09-01T01:25:10,180,2,256,0,71
2026-09-01T01:28:43,180,3,256,0,71
2026-09-01T01:32:15,180,4,256,1,71
2026-09-01T01:35:48,180,5,256,1,71
2026-09-01T01:39:21,180,6,256,1,71
2026-09-01T01:42:53,180,7,256,1,71
2026-09-01T01:46:26,180,8,256,1,71
2026-09-01T01:49:59,180,9,256,1,71
2026-09-01T01:53:32,180,10,256,1,71
2026-09-01T01:57:04,180,11,256,0,71
2026-09-01T02:00:37,180,12,256,1,71
2026-09-01T02:04:10,180,13,256,1,71
2026-09-01T02:07:42,180,14,256,0,72
2026-09-01T02:11:15,180,15,256,1,71
