iso,cond,trial,uniq,match
2026-09-02T07:30:36,none,1,1,0
2026-09-02T07:30:49,none,2,256,1
2026-09-02T07:31:03,none,3,1,0
2026-09-02T07:31:17,none,4,1,0
2026-09-02T07:31:31,none,5,1,0
2026-09-02T07:31:45,none,6,1,0
2026-09-02T07:31:59,none,7,1,0
2026-09-02T07:32:13,none,8,1,0
2026-09-02T07:32:27,none,9,1,0
2026-09-02T07:32:41,none,10,1,0
2026-09-02T07:32:54,none,11,1,0
2026-09-02T07:33:09,none,12,5,0
2026-09-02T07:33:22,none,13,1,0
2026-09-02T07:33:36,none,14,1,0
2026-09-02T07:33:50,none,15,1,0
2026-09-02T07:34:04,none,16,1,0
2026-09-02T07:34:18,none,17,1,0
2026-09-02T07:34:31,none,18,1,0
2026-09-02T07:34:45,none,19,1,0
2026-09-02T07:34:59,none,20,5,0
2026-09-02T07:35:14,touch,1,1,0
2026-09-02T07:35:30,touch,2,5,0
2026-09-02T07:35:45,touch,3,1,0
2026-09-02T07:36:01,touch,4,4,0
2026-09-02T07:36:16,touch,5,4,0
2026-09-02T07:36:32,touch,6,1,0
2026-09-02T07:36:48,touch,7,1,0
2026-09-02T07:37:03,touch,8,1,0
2026-09-02T07:37:19,touch,9,1,0
2026-09-02T07:37:34,touch,10,1,0
2026-09-02T07:37:50,touch,11,4,0
2026-09-02T07:38:05,touch,12,4,0
2026-09-02T07:38:21,touch,13,1,0
2026-09-02T07:38:36,touch,14,1,0
2026-09-02T07:38:52,touch,15,1,0
2026-09-02T07:39:07,touch,16,1,0
2026-09-02T07:39:22,touch,17,1,0
2026-09-02T07:39:38,touch,18,1,0
2026-09-02T07:39:53,touch,19,1,0
2026-09-02T07:40:08,touch,20,4,0
2026-09-02T07:40:26,e0read,1,256,1
2026-09-02T07:40:42,e0read,2,256,0
2026-09-02T07:41:00,e0read,3,256,1
2026-09-02T07:41:17,e0read,4,256,0
2026-09-02T07:41:34,e0read,5,256,1
2026-09-02T07:41:51,e0read,6,256,0
2026-09-02T07:42:08,e0read,7,256,1
2026-09-02T07:42:25,e0read,8,256,1
2026-09-02T07:42:42,e0read,9,256,0
2026-09-02T07:42:59,e0read,10,256,1
2026-09-02T07:43:16,e0read,11,256,1
2026-09-02T07:43:33,e0read,12,256,1
2026-09-02T07:43:50,e0read,13,256,0
2026-09-02T07:44:07,e0read,14,256,1
2026-09-02T07:44:24,e0read,15,256,1
2026-09-02T07:44:41,e0read,16,256,1
2026-09-02T07:44:58,e0read,17,256,1
2026-09-02T07:45:16,e0read,18,256,1
2026-09-02T07:45:32,e0read,19,256,1
2026-09-02T07:45:49,e0read,20,256,0
