iso,pattern,trial,uniq,match,i_mA,alive
2026-08-31T22:37:35,none,1,1,0,70,
2026-08-31T22:37:49,none,2,1,0,70,
2026-08-31T22:38:03,none,3,1,0,70,
2026-08-31T22:38:17,none,4,1,0,70,
2026-08-31T22:38:31,none,5,1,0,70,
2026-08-31T22:38:45,none,6,1,0,70,
2026-08-31T22:38:58,none,7,1,0,70,
2026-08-31T22:39:12,none,8,1,0,69,
2026-08-31T22:39:26,none,9,4,0,70,
2026-08-31T22:39:40,none,10,1,0,70,
2026-08-31T22:39:54,none,11,1,0,69,
2026-08-31T22:40:08,none,12,1,0,69,
2026-08-31T22:40:21,none,13,1,0,69,
2026-08-31T22:40:35,none,14,1,0,69,
2026-08-31T22:40:49,none,15,1,0,69,
2026-08-31T22:41:03,none,16,1,0,69,
2026-08-31T22:41:17,none,17,1,0,69,
2026-08-31T22:41:31,none,18,1,0,69,
2026-08-31T22:41:45,none,19,1,0,69,
2026-08-31T22:41:58,none,20,1,0,69,
2026-08-31T22:42:15,sanni,1,256,1,68,
2026-08-31T22:42:32,sanni,2,1,0,65,
2026-08-31T22:42:49,sanni,3,1,0,65,
2026-08-31T22:43:06,sanni,4,256,1,66,
2026-08-31T22:43:23,sanni,5,256,1,68,
2026-08-31T22:43:40,sanni,6,256,1,68,
2026-08-31T22:43:57,sanni,7,256,1,68,
2026-08-31T22:44:14,sanni,8,256,1,67,
2026-08-31T22:44:31,sanni,9,256,1,71,
2026-08-31T22:44:48,sanni,10,256,1,72,
2026-08-31T22:45:05,sanni,11,256,1,71,
2026-08-31T22:45:22,sanni,12,256,1,71,
2026-08-31T22:45:39,sanni,13,256,0,71,
2026-08-31T22:45:56,sanni,14,256,1,71,
2026-08-31T22:46:13,sanni,15,256,1,71,
2026-08-31T22:46:30,sanni,16,256,1,71,
2026-08-31T22:46:47,sanni,17,256,0,71,
2026-08-31T22:47:04,sanni,18,1,0,69,
2026-08-31T22:47:21,sanni,19,1,0,69,
2026-08-31T22:47:38,sanni,20,4,0,68,
2026-08-31T22:48:11,c0x6,1,1,0,69,$C0 $C0 $C0 $C0 $C0
2026-08-31T22:48:44,c0x6,2,4,0,68,$C0 $C0
2026-08-31T22:49:16,c0x6,3,256,1,71,$C0 $C0 $C0
2026-08-31T22:49:49,c0x6,4,256,0,71,$C0 $C0 $C0 $C0
2026-08-31T22:50:22,c0x6,5,256,1,71,$C0 $C0 $C0
2026-08-31T22:50:55,c0x6,6,256,1,71,$C0 $C0 $C0
2026-08-31T22:51:27,c0x6,7,256,0,71,$C0 $C0 $C0 $C0
2026-08-31T22:52:00,c0x6,8,256,1,71,$C0 $C0 $C0 $C0
2026-08-31T22:52:33,c0x6,9,4,0,69,$C0 $C0 $C0 $C0
2026-08-31T22:53:06,c0x6,10,256,1,71,$C0 $C0 $C0 $C0
2026-08-31T22:53:38,c0x6,11,256,1,71,$C0 $C0 $C0 $C0 $C0
2026-08-31T22:54:11,c0x6,12,256,1,71,$C0 $C0 $C0 $C0
2026-08-31T22:54:44,c0x6,13,256,1,71,$C0 $C0 $C0 $C0
