t_s,iso,phase,round,mV,mA,mW
0.07,2026-08-31T16:19:43,off,1,4997,66,329
0.63,2026-08-31T16:19:43,off,1,0,0,0
1.21,2026-08-31T16:19:44,off,1,0,0,0
1.78,2026-08-31T16:19:44,off,1,0,0,0
2.35,2026-08-31T16:19:45,off,1,0,0,0
2.94,2026-08-31T16:19:46,off,1,0,0,0
3.52,2026-08-31T16:19:46,off,1,0,0,0
4.09,2026-08-31T16:19:47,off,1,0,0,0
4.66,2026-08-31T16:19:47,off,1,0,0,0
5.23,2026-08-31T16:19:48,off,1,0,0,0
5.81,2026-08-31T16:19:48,on,1,4997,90,449
6.40,2026-08-31T16:19:49,on,1,4996,86,429
6.97,2026-08-31T16:19:50,on,1,4997,86,429
7.55,2026-08-31T16:19:50,on,1,4996,88,439
8.13,2026-08-31T16:19:51,on,1,4996,88,439
8.71,2026-08-31T16:19:51,idle,1,4997,89,444
9.29,2026-08-31T16:19:52,read,1,4998,90,449
9.85,2026-08-31T16:19:53,read,1,4999,67,334
10.43,2026-08-31T16:19:53,read,1,4998,67,334
11.01,2026-08-31T16:19:54,read,1,4997,66,329
11.59,2026-08-31T16:19:54,read,1,4998,67,334
12.18,2026-08-31T16:19:55,read,1,4999,67,334
12.74,2026-08-31T16:19:55,read,1,5002,67,335
13.31,2026-08-31T16:19:56,read,1,4998,67,334
13.88,2026-08-31T16:19:57,read,1,4997,67,334
14.45,2026-08-31T16:19:57,read,1,4997,67,334
15.03,2026-08-31T16:19:58,read,1,4999,66,329
15.62,2026-08-31T16:19:58,read,1,4998,67,334
16.21,2026-08-31T16:19:59,read,1,4997,67,334
16.78,2026-08-31T16:19:59,read,1,4998,66,329
17.35,2026-08-31T16:20:00,read,1,4998,67,334
17.93,2026-08-31T16:20:01,read,1,4999,67,334
18.50,2026-08-31T16:20:01,read,1,4999,66,329
19.07,2026-08-31T16:20:02,read,1,4998,67,334
19.65,2026-08-31T16:20:02,read,1,4997,67,334
20.23,2026-08-31T16:20:03,read,1,4996,66,329
20.80,2026-08-31T16:20:03,read,1,4997,66,329
21.38,2026-08-31T16:20:04,read,1,4998,67,334
21.96,2026-08-31T16:20:05,read,1,4997,66,329
22.53,2026-08-31T16:20:05,read,1,4997,66,329
23.09,2026-08-31T16:20:06,read,1,4996,67,334
23.67,2026-08-31T16:20:06,read,1,4997,67,334
24.25,2026-08-31T16:20:07,read,1,4996,66,329
24.83,2026-08-31T16:20:07,read,1,4995,66,329
25.40,2026-08-31T16:20:08,read,1,4996,66,329
25.97,2026-08-31T16:20:09,read,1,4997,66,329
26.55,2026-08-31T16:20:09,read,1,4999,67,334
27.12,2026-08-31T16:20:10,read,1,5000,68,340
27.70,2026-08-31T16:20:10,read,1,4999,67,334
28.28,2026-08-31T16:20:11,read,1,4999,67,334
28.87,2026-08-31T16:20:12,read,1,4998,67,334
29.45,2026-08-31T16:20:12,read,1,4997,66,329
30.02,2026-08-31T16:20:13,read,1,4998,67,334
